time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002967,-0.0108,-0.0150,0.0060,0.019
0.003388,0.0129,-0.0007,0.0202,0.024
0.007234,-0.0205,0.0089,-0.0227,0.032
0.019842,0.0271,-0.0102,-0.0083,0.030
0.020204,-0.0016,-0.0005,0.0060,0.006
0.024338,-0.0064,-0.0051,0.0012,0.008
0.027299,-0.0016,0.0091,0.0202,0.022
0.031922,0.0033,0.0042,0.0011,0.005
0.037037,-0.0062,-0.0101,0.0010,0.012
0.041969,-0.0299,-0.0052,-0.0085,0.032
0.046892,-0.0154,0.0092,0.0011,0.018
0.051920,0.0085,-0.0005,-0.0037,0.009
0.057062,-0.0058,-0.0005,-0.0131,0.014
0.062252,-0.0152,0.0184,-0.0035,0.024
0.066787,-0.0198,-0.0197,0.0060,0.029
0.071885,-0.0102,-0.0148,-0.0130,0.022
0.076822,-0.0147,0.0233,0.0108,0.030
0.081919,-0.0099,0.0089,0.0297,0.033
0.091862,-0.0195,-0.0055,0.0200,0.028
0.092273,0.0092,-0.0244,0.0103,0.028
0.097316,0.0089,-0.0147,0.0055,0.018
0.101853,0.0136,-0.0051,0.0054,0.016
0.107988,-0.0149,0.0187,-0.0278,0.037
0.112632,0.0043,-0.0052,0.0009,0.007
0.116676,-0.0147,-0.0099,0.0294,0.034
0.121898,-0.0003,0.0044,-0.0089,0.010
0.126948,0.0187,0.0045,-0.0183,0.027
0.131707,-0.0098,-0.0051,0.0056,0.012
0.137306,-0.0050,-0.0192,-0.0229,0.030
0.141652,0.0142,0.0095,0.0010,0.017
0.146852,-0.0002,0.0142,-0.0133,0.019
0.151666,0.0092,0.0045,-0.0132,0.017
0.156837,0.0138,0.0044,0.0107,0.018
0.162380,-0.0147,0.0234,0.0011,0.028
0.166649,-0.0050,-0.0006,0.0201,0.021
0.171926,0.0187,-0.0053,-0.0370,0.042
0.176617,-0.0146,0.0042,0.0012,0.015
0.183421,-0.0002,-0.0054,0.0012,0.006
0.192273,0.0188,0.0135,-0.0083,0.025
0.192688,0.0045,-0.0103,-0.0129,0.017
0.197013,-0.0192,0.0230,-0.0128,0.033
0.201815,0.0046,0.0133,-0.0032,0.014
0.207192,-0.0001,-0.0009,-0.0032,0.003
0.212429,-0.0048,0.0085,-0.0032,0.010
0.216768,0.0048,-0.0010,-0.0079,0.009
0.221578,-0.0000,0.0134,0.0112,0.017
0.226673,-0.0239,-0.0104,0.0016,0.026
0.231778,-0.0094,-0.0292,-0.0080,0.032
0.237734,0.0049,0.0091,-0.0126,0.016
0.241822,-0.0047,-0.0005,0.0160,0.017
0.246749,-0.0046,0.0137,0.0206,0.025
0.251493,0.0144,0.0041,0.0157,0.022
0.256586,0.0190,-0.0006,0.0013,0.019
0.262780,0.0093,0.0041,0.0345,0.036
0.266808,-0.0002,-0.0102,-0.0275,0.029
0.271869,0.0237,-0.0148,-0.0035,0.028
0.276774,0.0235,0.0090,-0.0083,0.026
0.281741,-0.0100,-0.0291,0.0013,0.031
0.289140,0.0234,0.0091,0.0060,0.026
0.291902,0.0137,0.0186,0.0012,0.023
0.309665,-0.0103,-0.0101,0.0107,0.018
0.310193,-0.0149,-0.0005,0.0154,0.021
0.310405,-0.0054,0.0090,0.0010,0.010
0.313030,-0.0101,-0.0052,0.0105,0.016
0.316953,-0.0006,-0.0051,0.0104,0.012
0.321943,0.0233,-0.0194,0.0103,0.032
0.326349,0.0089,-0.0001,-0.0088,0.013
0.331631,0.0183,0.0047,0.0103,0.022
0.337639,-0.0103,-0.0001,0.0102,0.015
0.341543,-0.0149,-0.0047,0.0006,0.016
0.346516,0.0042,0.0048,0.0006,0.006
0.351299,-0.0007,0.0333,-0.0279,0.043
0.356351,-0.0006,0.0093,-0.0134,0.016
0.361638,-0.0052,0.0092,0.0105,0.015
0.366565,-0.0005,-0.0051,0.0151,0.016
0.371502,0.0044,-0.0098,-0.0040,0.011
0.376253,-0.0147,-0.0050,-0.0040,0.016
0.381447,-0.0146,0.0141,-0.0134,0.024
0.386634,-0.0050,-0.0193,0.0009,0.020
0.392780,-0.0145,0.0140,-0.0038,0.021
0.396416,-0.0049,0.0043,0.0105,0.012
0.401707,-0.0000,0.0044,0.0056,0.007
0.418729,-0.0333,0.0091,-0.0039,0.035
0.419366,0.0051,-0.0005,-0.0086,0.010
0.419608,0.0002,0.0090,-0.0133,0.016
0.422680,-0.0187,0.0042,-0.0179,0.026
0.426182,0.0147,0.0040,0.0107,0.019
0.431156,-0.0091,-0.0103,-0.0131,0.019
0.436557,-0.0091,0.0136,-0.0035,0.017
0.441474,0.0100,0.0040,-0.0130,0.017
0.446067,0.0240,-0.0008,-0.0366,0.044
0.450941,-0.0048,0.0087,-0.0126,0.016
0.456066,-0.0001,-0.0008,-0.0172,0.017
0.461417,0.0094,-0.0007,0.0067,0.012
0.466769,0.0046,0.0041,0.0066,0.009
0.471537,-0.0143,0.0040,0.0065,0.016
0.476224,0.0286,-0.0054,0.0065,0.030
0.481217,0.0045,-0.0196,0.0112,0.023
0.486395,-0.0002,0.0188,-0.0127,0.023
0.492295,0.0093,0.0044,0.0207,0.023
0.506114,-0.0145,0.0091,0.0063,0.018
0.506685,-0.0050,0.0090,0.0062,0.012
